Row,Series,MTM,Effective_T3,Original_Final_Price,Adjusted_Final_Price,image
92,Yoga 7 2-in-1,83DJ00AKIN,82874.85,94890.0,94890.0,
93,Yoga 7 2-in-1,83DJ00AMIN,82874.85,44890.0,83289.22,
94,Yoga 7 2-in-1,83DJ00DDIN,82874.87,42890.0,83289.25,
95,Yoga 7 2-in-1,83DK009LIN,83118.35,44890.0,83533.94,
96,Yoga 7i,82YL0098IN,104319.33,44890.0,104840.93,
97,Yoga 9 2in1,83AC001LIN,174709.71,42890.0,175583.26,
98,Yoga 9 2in1 (Aura Edition),83LC001FIN,201895.04,195890.0,202904.51,
99,Yoga 9i,83B1004XIN,131779.36,44890.0,132438.26,
100,Yoga Book 9,83FF0034IN,211086.58,44890.0,212142.01,
101,Yoga Book 9,82YQ001DIN,197114.21,174890.0,198099.78,
102,Yoga Book 9 (New),83KJ000QIN,231005.75,74890.0,232160.78,
103,Yoga Pro 7,83HN0027IN,124115.81,139890.0,139890.0,
104,Yoga Pro 7,83E2005EIN,146493.61,139890.0,147226.07,
105,Yoga Pro 7 (Aura Edition),83KF001LIN,133787.57,139890.0,139890.0,
106,Yoga Pro 9,83DN004VIN,176654.99,181890.0,181890.0,
107,Yoga Slim 6,83E00012IN,78183.99,85890.0,85890.0,
108,Yoga Slim 6,83E00017IN,92689.6,44190.0,93153.04,
109,Yoga Slim 7,83CV00D0IN,81135.4,89890.0,89890.0,
110,Yoga Slim 7,83CV00DGIN,81135.4,89890.0,89890.0,
111,Yoga Slim 7,83CV008XIN,102710.96,121890.0,121890.0,
112,Yoga Slim 7,83CV00D3IN,101680.3,89890.0,102188.7,
113,Yoga Slim 7,83JY000UIN,110494.54,42890.0,111047.01,
114,Yoga Slim 7,83JY005YIN,110494.54,42890.0,111047.01,
115,Yoga Slim 7,83JY0069IN,110494.54,89890.0,111047.01,
116,Yoga Slim 7,83CV00B3IN,109521.59,114890.0,114890.0,
117,Yoga Slim 7,83ED003BIN,128220.38,44190.0,128861.48,
118,Yoga Slim 7 (Aura Edition),83JX005FIN,101738.01,104611.0,104611.0,
119,Yoga Slim 7 (Aura Edition),83JX001LIN,111467.49,37890.0,112024.82,
120,Yoga Slim 7 (Aura Edition),83HM004NIN,143574.76,107790.0,144292.64,
121,Yoga Slim 7 (Aura Edition),83HM002GIN,143574.76,85890.0,144292.64,
122,Yoga Slim 7 (Aura Edition),83JX001MIN,128124.6,85890.0,128765.22,
123,Yoga Slim 9,83CX002LIN,192222.15,121890.0,193183.26,
