,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo Notebook Price List - 1st Jan'26 to 31st Jan '26,,,,,,,,,,,,,,,,,,,,,,,
,Yoga 7 2-in-1,Convertible,83DJ00DGIN,Core Ultra 5 125H,AI PC,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,Integrated Intel® Arc™ Graphics,"14 WUXGA (1920x1200) OLED 400nits Glossy / Anti-fingerprint, 100% DCI-P3, 60Hz, Dolby® Vision®, DisplayHDR™ True Black 500, TÜV Low Blue Light, Glass, Touch",Tidal Teal,1.49Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,100765,13043,87722,89476.93,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DJ00DGIN.webp
,Yoga 7 2-in-1,Convertible,83DJ00FVIN,Core Ultra 5 125H,AI PC,"16GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,INTEGRATED_GRAPHICS,14_WUXGA_OLED_GL_400N_HDR_P3,Tidal Teal,1.49Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,IR Camera,Premium,90751,,90751,125790,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DJ00FVIN.webp
,Yoga 7 2-in-1,Convertible,83DK009LIN,RYZEN 7 8840HS,AI PC,"16GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,Integrated Intel® Arc™ Graphics,"14 WUXGA (1920x1200) OLED 400nits Glossy / Anti-fingerprint, 100% DCI-P3, 60Hz, Dolby® Vision®, DisplayHDR™ True Black 500, TÜV Low Blue Light, Glass, Touch",Tidal Teal,1.49Kg,-,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,"IR Camera, No Pen",Premium,83118,,83118,83533.94,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DK009LIN.webp
,Yoga Pro 9,Thin & Light,83DN004VIN,CORE ULT9 185H,AI PC,"32GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,NVIDIA® GeForce RTX™ 4050 6GB GDDR6,"16 3.2K (3200x2000) IPS 400nits Glossy / Anti-fingerprint, 100% P3, 100% sRGB, 165Hz, Eyesafe®, Dolby Vision®, Glass, Touch, TCON",Luna Grey,2Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,176655,,176655,181890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DN004VIN.webp
,Ideapad 5 2-in-1,Convertible,83DR007CIN,R5 8645HS,AI PC,"16GB,512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,Integrated AMD Radeon™ 760M Graphics,"14 WUXGA (1920x1200) IPS 300nits Glossy, 45% NTSC, 60Hz, TÜV Low Blue Light, Glass, Touch",Luna Grey,1.6 kg,GX40Q75210,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,FPR Touch Style,Mainstream,69548,,69548,69895.74,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DR007CIN.webp
,Ideapad 5 2-in-1,Convertible,83DR007DIN,R7 8845HS,AI PC,"16GB,512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,Integrated AMD Radeon™ 780M Graphics,"14 WUXGA (1920x1200) IPS 300nits Glossy, 45% NTSC, 60Hz, TÜV Low Blue Light, Glass, Touch",Luna Grey,1.6 kg,GX40Q75210,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,FPR Touch Style,Premium,74414,,74414,74785.62,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DR007DIN.webp
,Ideapad 5 2-in-1,Convertible,83DT004SIN,Core 5 120U,,"16GB,512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,Integrated Intel® Graphics,"14 WUXGA (1920x1200) IPS 300nits Glossy, 45% NTSC, 60Hz, TÜV Low Blue Light, Glass, Touch",Luna Grey,1.6kg,GX40Q75210,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,FPR Touch Style,Premium,76846,,76846,77230.09,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DT004SIN.webp
,LOQ,Gaming,83DV00BCIN,i7 13650HX,,"16GB, 512GB SSD",Windows 11,Office 2021,RTX 3050 6GB,15.6_FHD_AG_300N_144_SRGB,LUNA_GREY,2.38kg,GX41T87387,1 year onsite,,1 Year ADP,4 Zone RGB,-,Premium,87599,,87599,107790,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DV00BCIN.webp
,LOQ,Gaming,83DV00XFIN,i7 13650HX,,"24GB, 512GB SSD",Windows 11,OFFICE 2024,RTX 4050 6GB,15.6_FHD_AG_300N_144_SRGB,LUNA_GREY,2.38kg,GX41T87387,1 year onsite,,1 Year ADP,4 Zone RGB,-,Premium,94484,583,93901,94370.52,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DV00XFIN.webp
,LOQ,Gaming,83DV01A5IN,i7 13650HX,,"16GB, 512GB SSD",Windows 11,Office 2024,RTX 4050 6GB,15.6_FHD_AG_300N_144_SRGB,LUNA_GREY,2.38 Kg,GX41T87387,1 Year Onsite,,1 Year ADP,4 Zone RGB,,Premium,94661,,94661,99400,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DV01A5IN.webp
,Yoga Slim 6,Thin & Light,83E00012IN,i5-13500H,,"16GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,INTEGRATED_GRAPHICS,"14 WUXGA (1920x1200) OLED 400nits Glossy, 100% DCI-P3, 60Hz, Eyesafe®, Dolby® Vision™, DisplayHDR™ True Black 500",Storm Grey,1.35Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,IR Camera,Premium,82595,4411,78184,85890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83E00012IN.webp
,Yoga Slim 6,Thin & Light,83E00017IN,i7-13700H,,"16GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,INTEGRATED_GRAPHICS,"14 WUXGA (1920x1200) OLED 400nits Glossy, 100% DCI-P3, 60Hz, Eyesafe®, Dolby® Vision™, DisplayHDR™ True Black 500",Storm Grey,1.35Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,IR Camera,Premium,92690,,92690,93153.04,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83E00017IN.webp
,Legion GO,Gaming,83E1004MIN,Z1 Extreme,,"16GB,512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE TRIAL,Integrated AMD Radeon™ Graphics,8.8_WQXGA_500N_144_ 97% DCI-P3,Shadow Black,0.854 Kg,-,1 Year Onsite,,1 Year ADP,NA,-,Mainstream,64464,,64464,73890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83E1004MIN.webp
,Yoga Pro 7,Thin & Light,83E2005EIN,CORE ULT7 155H,AI PC,"16GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,NVIDIA® GeForce RTX™ 4050 6GB GDDR6,"14.5 2.8K (2880x1800) OLED 400nits Glossy, 100% P3, 120Hz, Eyesafe®, Dolby Vision®, DisplayHDR™ True Black 500, Glass",Tidal Teal,1.59Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,146494,,146494,147226.07,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83E2005EIN.webp
,Yoga Slim 7,Thin & Light,83ED003BIN,Snapdragon® X Elite X1E-78100 12C,Co-Pilot+ PC,"32GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,INTEGRATED_GRAPHICS,"14.5 3K (2944x1840) OLED 1000nits (peak), Touch Screen",Cosmic Blue,1.28kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,135220,7000,128220,128861.48,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83ED003BIN.webp
,IdeaPad Slim 3 ,Thin & Light,83ER00KSIN,i5-12450H,,"16GB, 512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE HOME 2024,Integrated Intel® UHD Graphics,15.6 FHD (1920x1080) IPS 300nits Anti-glare,Arctic Grey,1.62 kg,GX40Q75210 ,1 Year Onsite,,1 Year ADP,Backlit,-,Mainstream,55270,4399,50871,51124.93,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83ER00KSIN.webp
,IdeaPad Slim 3 ,Thin & Light,83ER00MCIN,i5-12450H,,"16GB, 512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE HOME 2024,Integrated Intel® UHD Graphics,15.6 FHD (1920x1080) 2500nits Anti-glare,Arctic Grey,1.62 kg,GX40Q75210 ,1 Year Onsite,,1 Year ADP,Backlit,-,Mainstream,53212,1899,51313,51569.95,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83ER00MCIN.webp
,Legion 5,Gaming,83F0005VIN,U9 275HX,,"32GB, 1TB SSD",Legion5 15IAX10,Office 2024,RTX 5070 8GB,15.1WQXGA_OLED_GL500N_165HDRP3,LENOVO_BLACK,1.9kg,GX41T08941,1 Year Onsite,1 year LUS,1 Year ADP,24 Zone RGB,,Premium,207915,8500,199415,200412.49,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83F0005VIN.webp
,Legion 5,Gaming,83F0005WIN,U7 255HX,,"32GB, 1TB SSD",Legion5 15IAX10,Office 2024,RTX 5060 8GB,15.1WQXGA_OLED_GL500N_165HDRP3,LENOVO_BLACK,1.9kg,GX41T08941,1 Year Onsite,1 year LUS,1 Year ADP,24 Zone RGB,,Premium,169970,,169970,170819.85,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83F0005WIN.webp
,Legion Pro5,Gaming,83F20036IN,R9 9955HX,,"32GB, 1TB SSD",Legion Pro5 16AFR10,Office 2024,RTX 5070 8GB,16_WQXGA_OLED_GL500N_165_HDRP3,LENOVO_BLACK,2.43kg,GX41T08941,1 Year Onsite,1 year LUS,1 Year ADP,24 Zone RGB,,Premium,208890,,208890,209934.36,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83F20036IN.webp
,Legion Pro5,Gaming,83F20037IN,R9 9955HX,,"32GB, 1TB SSD",Legion Pro5 16AFR10,Office 2024,RTX 5060 8GB,16_WQXGA_OLED_GL500N_165_HDRP3,LENOVO_BLACK,2.43kg,GX41T08941,1 Year Onsite,1 year LUS,1 Year ADP,24 Zone RGB,,Premium,189431,,189431,194890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83F20037IN.webp
,Legion Pro5,Gaming,83F3007BIN,U9 275HX,,"32GB, 1TB SSD",Legion Pro5 16IAX10,Office 2024,RTX 5070 8GB,16_WQXGA_OLED_GL500N_165_HDRP3,LENOVO_BLACK,2.43kg,GX41T08941,1 Year Onsite,1 year LUS,1 Year ADP,24 Zone RGB,,Premium,208890,,208890,209934.36,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83F3007BIN.webp
,Legion Pro5,Gaming,83F3007CIN,U7 255HX,,"32GB, 1TB SSD",Legion Pro5 16IAX10,Office 2024,RTX 5060 8GB,16_WQXGA_OLED_GL500N_165_HDRP3,LENOVO_BLACK,2.43kg,GX41T08941,1 Year Onsite,1 year LUS,1 Year ADP,24 Zone RGB,,Premium,186856,,186856,265790,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83F3007CIN.webp
,Legion Pro7,Gaming,83F500D7IN,CORE ULT9 275HX,,"32GB, 1TB SSD",WINDOWS 11 HOME 64 SL,Office 2024,RTX 5070 Ti 12GB,16_WQXGA_OLED_GL500N_240_HDRP3,LENOVO_BLACK,2.57kg,GX41T08941,1 Year Onsite,1 year LUS,1 Year ADP,Per Key RGB,-,Premium,252673,,252673,253935.92,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83F500D7IN.webp
,Legion Pro7,Gaming,83F500D8IN,CORE ULT9 275HX,,"64GB, 1TB SSD",WINDOWS 11 HOME 64 SL,Office 2024,RTX 5090 24GB,16_WQXGA_OLED_GL500N_240_HDRP3,LENOVO_BLACK,2.57kg,GX41T08941,1 Year Onsite,1 year LUS,1 Year ADP,Per Key RGB,-,Premium,386937,,386937,388872.03,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83F500D8IN.webp
,Legion Pro7,Gaming,83F500D9IN,CORE ULT9 275HX,,"32GB, 1TB SSD",WINDOWS 11 HOME 64 SL,Office 2024,RTX 5080 16GB,16_WQXGA_OLED_GL500N_240_HDRP3,LENOVO_BLACK,2.57kg,GX41T08941,1 Year Onsite,1 year LUS,1 Year ADP,Per Key RGB,-,Premium,320777,,320777,322380.78,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83F500D9IN.webp
,Legion 7i,Gaming,83FD000XIN,i9 14900HX,,"32GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,RTX 4070 8GB,16_3.2K_AG_430N_165_P3,ECLIPSE_BLACK,2.24Kg,GX41C86982,1 Year Onsite,1 year LUS,1 Year ADP,Per Key RGB,-,Premium,203939,,203939,204958.22,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83FD000XIN.webp
,Legion 7i,Gaming,83FD000YIN,i9 14900HX,,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,RTX 4060 8GB,16_3.2K_AG_430N_165_P3,ECLIPSE_BLACK,2.24Kg,GX41C86982,1 Year Onsite,1 year LUS,1 Year ADP,Per Key RGB,-,Premium,172318,,172318,198890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83FD000YIN.webp
,Legion 7i,Gaming,83FD0010IN,i7 14700HX,,"32GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,RTX 4070 8GB,16_3.2K_AG_430N_165_P3,ECLIPSE_BLACK,2.24Kg,GX41C86982,1 Year Onsite,1 year LUS,1 Year ADP,Per Key RGB,-,Premium,194209,19500,174710,175583.13,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83FD0010IN.webp
,Yoga Book 9,Convertible,83FF0034IN,Core Ultra 7 155U,AI PC,"32GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,Integrated Intel Graphics,"2x 13.3 2.8K (2880x1800) OLED 400nits Glossy / Anti-fingerprint, 100% DCI-P3, 60Hz, Eyesafe®, Dolby Vision®, DisplayHDR™ True Black 500, Glass, Touch",Tidal Teal,1.34kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,233087,22000,211087,212142.01,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83FF0034IN.webp
,Ideapad Slim 5,Thin & Light,83HL003NIN,"Snapdragon® X Plus X1P-42-100, 8C",Co-Pilot+ PC,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,INTEGRATED_GRAPHICS,"14 WUXGA (1920x1200) IPS 300nits Anti-glare, 100% sRGB",Cloud Grey,1.48kg, GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Mainstream,74815,7000,67815,68154.41,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83HL003NIN.webp
,Yoga Slim 7 (Aura Edition),Thin & Light,83HM002GIN,CORE Ultra 7 258V,Co-Pilot+ PC,"32GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,INTEGRATED_GRAPHICS,"15.3 2.8K WQXGA+ (2880x1800) IPS 500nits Glossy / Anti-fingerprint, 100% DCI-P3, 100% sRGB, 120Hz, Eyesafe®, Dolby Vision®, DisplayHDR™ 400, Glass, Touch, TCON",Luna Grey,1.53kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,IR Camera,Premium,143575,,143575,144292.64,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83HM002GIN.webp
,Yoga Slim 7 (Aura Edition),Thin & Light,83HM004NIN,CORE Ultra 7 258V,Co-Pilot+ PC,"32GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,INTEGRATED_GRAPHICS,"15.3 2.8K WQXGA+ (2880x1800) IPS 500nits Glossy / Anti-fingerprint, 100% DCI-P3, 100% sRGB, 120Hz, Eyesafe®, Dolby Vision®, DisplayHDR™ 400, Glass, Touch, TCON",Luna Grey,1.53kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,IR Camera,Premium,143575,,143575,144292.64,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83HM004NIN.webp
,Yoga Pro 7,Thin & Light,83HN0027IN,Ryzen AI 9 365,Co-Pilot+ PC,"32GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,INTEGRATED_GRAPHICS,14.5_2.8K_OLED400N_120_HDRP3_G,Luna Grey,1.54kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,IR Camera,Premium,124116,,124116,139890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83HN0027IN.webp
,Ideapad Slim 5,Thin & Light,83HR000YIN,i5 13420H,,"16GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,INTEGRATED_GRAPHICS,"14 WUXGA (1920x1200) OLED 400nits Glossy, 100% DCI-P3, DisplayHDR™ True Black 500",Luna Grey,1.39kg,-,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Mainstream,71442,5872,65571,79790,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83HR000YIN.webp
,Ideapad Slim 5,Thin & Light,83HS000XIN,i5 13420H,,"16GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,INTEGRATED_GRAPHICS,16_2.8K_OLED_GL500N_120_HDR_P3,Luna Grey,1.69Kg, GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Mainstream,70520,,70520,70872.98,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83HS000XIN.webp
,Ideapad Slim 5,Thin & Light,83HX001NIN,Ryzen AI 7 350,Co-Pilot+ PC,"24GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,Integrated AMD Radeon™ 860M Graphics,"14 WUXGA (1920x1200) OLED 400nits Glossy, 100% DCI-P3, DisplayHDR™ True Black 500",Luna Grey,1.39kg, GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,"FHD 1080p + IR with Privacy Shutter, ToF Sensor",Premium,83112,4000,79112,79507.36,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83HX001NIN.webp
,Ideapad Slim 5,Thin & Light,83HX0096IN,Ryzen AI 5 330,Co-Pilot+ PC,"16GB, 512GB SSD",WINDOWS 11 HOME 64 SL,M365 Basic+OFFICE H&S 2024,Integrated AMD Radeon™ 820M Graphics,"14 WUXGA (1920x1200) OLED 400nits Glossy, 100% DCI-P3, DisplayHDR™ True Black 500",Luna Grey,1.39kg, GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,"FHD 1080p + IR with Privacy Shutter, ToF Sensor",Mainstream,70464,,70464,70816,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83HX0096IN.webp
,Ideapad Slim 5,Thin & Light,83HX00A5IN,Ryzen AI 7 350,Co-Pilot+ PC,"24GB, 1TB SSD",WINDOWS 11 HOME 64 SL,M365 Basic+OFFICE H&S 2024,Integrated AMD Radeon™ 860M Graphics,"14 WUXGA (1920x1200) OLED 400nits Glossy, 100% DCI-P3, DisplayHDR™ True Black 500",Luna Grey,1.39kg, GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,"FHD 1080p + IR with Privacy Shutter, ToF Sensor",Premium,83112,4000,79112,79507.36,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83HX00A5IN.webp
,Ideapad Slim 5,Thin & Light,83J10067IN,Core 5 210H,,"16GB, 512GB SSD",WINDOWS 11 HOME 64 SL,M365+OFFICE H&S 2024,INTEGRATED_GRAPHICS,"16 WUXGA (1920x1200) IPS 300nits Anti-glare, 100% sRGB, 60Hz",Luna Grey,1.85kg, GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Mainstream,61399,,61399,61705.98,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83J10067IN.webp
,LoQ,Gaming,83JC00JXIN,R5 7235HS,,"12GB, 512GB SSD",Windows 11,Office 2024,RTX 3050A 4GB,15.6_FHD_AG_300N_144_SRGB,LUNA_GREY,2.38kg,GX41T87387,1 year onsite,,1 Year ADP,White Backlit,,Mainstream,63047,2000,61047,107790,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JC00JXIN.webp
,LoQ,Gaming,83JE00U3IN,i7 14700HX,,"32GB, 1TB SSD",Windows 11,Office 2024,RTX 5060 8GB,15.6_FHD_AG_300N_144_SRGB,LUNA_GREY,2.38kg,GX41T87387,1 year onsite,,1 Year ADP,24 Zone RGB,,Premium,138957,498,138459,139151.04,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JE00U3IN.webp
,LoQ,Gaming,83JE00U4IN,i7 13700HX,,"16GB, 1TB SSD",Windows 11,Office 2024,RTX 5060 8GB,15.6_FHD_AG_300N_144_SRGB,LUNA_GREY,2.38kg,GX41T87387,1 year onsite,,1 Year ADP,24 Zone RGB,,Premium,123390,498,122892,123506.04,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JE00U4IN.webp
,LoQ,Gaming,83JE00U5IN,i7 14700HX,,"16GB, 1TB SSD",Windows 11,Office 2024,RTX 5060 8GB,15.6_FHD_AG_300N_144_SRGB,LUNA_GREY,2.38kg,GX41T87387,1 year onsite,,1 Year ADP,24 Zone RGB,,Premium,133119,498,132621,133284.17,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JE00U5IN.webp
,LoQ,Gaming,83JE00U6IN,i7 14700HX,,"16GB, 1TB SSD",Windows 11,Office 2024,RTX 5050 8GB,15.6_FHD_AG_300N_144_SRGB,LUNA_GREY,2.38kg,GX41T87387,1 year onsite,,1 Year ADP,24 Zone RGB,,Premium,120931,,120931,121535.4,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JE00U6IN.webp
,LoQ,Gaming,83JE00U7IN,i7 13700HX,,"16GB, 1TB SSD",Windows 11,Office 2024,RTX 5050 8GB,15.6_FHD_AG_300N_144_SRGB,LUNA_GREY,2.38kg,GX41T87387,1 year onsite,,1 Year ADP,24 Zone RGB,,Premium,114586,452,114134,117790,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JE00U7IN.webp
,Legion 5,Gaming,83JJ000DIN,i7 13650HX,,"24GB, 512GB SSD",Windows 11,OFFICE H&S 2021  ,RTX 4060 8GB,15.6_FHD_AG_300N_144_SRGB,Storm Grey,2.32kg,GX41C86982,1 Year Onsite,1 Year Hard bundled Legion Ultimate Support,1 Year ADP,White Backlit,-,Premium,119292,,119292,119888.53,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JJ000DIN.webp
,Legion 5,Gaming,83JJ0010IN,i7 13650HX,,"24GB, 512GB SSD",Windows 11,OFFICE H&S 2024,RTX 4060 8GB,15.6_FHD_AG_300N_144_SRGB,Storm Grey,2.32kg,GX41C86982,1 Year Onsite,1 Year Hard bundled Legion Ultimate Support,1 Year ADP,White Backlit,-,Premium,119779,,119779,129890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JJ0010IN.webp
,Ideapad Pro 5,Thin & Light,83JK000AIN,Core ULT9 285H,AI PC,"32GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,Integrated Intel Arc 140T GPU,"14 2.8K (2880x1800) OLED 500nits (typical) / 1100nits (peak) Glossy, 100% DCI-P3, DisplayHDR™ True Black 1000, 120Hz VRR",Luna Grey,1.39kg, GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,119169,,119169,124890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JK000AIN.webp
,Yoga 7 2-in-1,Convertible,83JQ000NIN,CORE ULT7 258V,Co-Pilot+ PC,"32GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,INTEGRATED_GRAPHICS,14_2.8K_OLED_GL500N_120MT_P3_G,Seashell,1.38Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,IR Camera,Premium,138652,2000,136652,137335.47,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JQ000NIN.webp
,Yoga 7 2-in-1,Convertible,83JQ000VIN,CORE ULT7 256V,Co-Pilot+ PC,"16GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,INTEGRATED_GRAPHICS,14_WUXGA_OLED_GL_400N_HDR_P3,Seashell,1.38Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,IR Camera,Premium,121139,2000,119139,125790,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JQ000VIN.webp
,Yoga 7 2-in-1,Convertible,83JQ000XIN,CORE ULT5 226V,Co-Pilot+ PC,"16GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,INTEGRATED_GRAPHICS,14_WUXGA_OLED_GL_400N_HDR_P3,Seashell,1.38Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,IR Camera,Premium,111410,2000,109410,112890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JQ000XIN.webp
,Yoga 7 2-in-1,Convertible,83JR001EIN,Ryzen AI 7 350,Co-Pilot+ PC,"24GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE HOME 2024,INTEGRATED_GRAPHICS,14WUXGA_OLED_GL400N_MT_HDRP3_G,SEASHELL,1.38Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,102711,3000,99711,125790,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JR001EIN.webp
