,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo Notebook Price List - 1st Jan'26 to 31st Jan '26,,,,,,,,,,,,,,,,,,,,,,,
,Flex 5i,Convertible,82Y00052IN,i7-1355U,,"16GB,512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,Integrated Intel Iris Xe Graphics,"14 WUXGA (1920x1200) IPS 300nits Glossy, Glass, Touch",Arctic Grey,1.5 kg,GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,FPR Touch Style,Premium,78758,2000,76758,77141.62,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/82Y00052IN.webp
,Yoga 7i,Convertible,82YL0098IN,i7-1360P,,"16GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,Integrated Intel® Iris® Xe Graphics,"14 WUXGA (1920x1200) OLED 400nits Glossy, 100% DCI-P3, 60Hz, DisplayHDR™ True Black 500, Dolby® Vision™, TÜV Low Blue Light, Glass, Touch",Tidal Teal,1.49kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,110519,6200,104319,104840.93,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/82YL0098IN.webp
,Yoga Book 9,Convertible,82YQ001DIN,i7-1355U,,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,Integrated Intel® Iris® Xe Graphics,"2x 13.3 2.8K (2880x1800) OLED 400nits Glossy / Anti-fingerprint, 100% DCI-P3, 60Hz, Eyesafe®, Dolby Vision®, DisplayHDR™ True Black 500, Glass, Touch",Tidal Teal,1.34kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,5.0MP + IR with E-shutter,Premium,197114,,197114,198099.78,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/82YQ001DIN.webp
,Yoga 9 2in1,Convertible,83AC001LIN,Core Ultra 7 155H,AI PC,"32GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,Integrated Arc Graphics,"14 2.8K (2880x1800) OLED 400nits Glossy / Anti-fingerprint, 100% DCI-P3, 120Hz, Eyesafe®, Dolby Vision®, DisplayHDR™ 500, Glass, Touch",Cosmic Blue,1.32kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,174710,,174710,175583.26,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83AC001LIN.webp
,Yoga 9i,Convertible,83B1004XIN,i7-1360P,,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,Integrated Intel® Iris® Xe Graphics,"14 4K (3840x2400) OLED 400nits Glossy, 100% DCI-P3, DisplayHDR™ 500, Dolby® Vision™, Eyesafe®, Glass, Touch",Oatmeal,1.4 kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,FPR Touch Style/ IR Camera,Premium,131779,,131779,132438.26,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83B1004XIN.webp
,Yoga 6,Convertible,83B2007TIN,RYZEN 7 7730U,,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,Integrated AMD Radeon™ Graphics,"13.3 WUXGA (1920x1200) IPS 300nits Glossy, 100% sRGB, Dolby® Vision™, TÜV Low Blue Light, Touch",Dark Teal,1.37kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,FPR Touch Style/ IR Camera,Premium,84420,,84420,84842.26,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83B2007TIN.webp
,Yoga Slim 7,Thin & Light,83CV008XIN,Core Ultra 7 155H,AI PC,"32GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,INTEGRATED_GRAPHICS,14_WUXGA_OLED_GL_400N_HDR_P3,LUNA_GREY,1.39Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,102711,,102711,121890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83CV008XIN.webp
,Yoga Slim 7,Thin & Light,83CV00B3IN,Core Ultra 9 185H,AI PC,"32GB, 1TB SSD",WINDOWS 11 HOME 64 SL,M365 Basic+OFFICE H&S 2024,INTEGRATED_GRAPHICS,14_WUXGA_OLED_GL_400N_HDR_P3,LUNA_GREY,1.39Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,109522,,109522,114890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83CV00B3IN.webp
,Yoga Slim 7,Thin & Light,83CV00D0IN,Core Ultra 5 125H,AI PC,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,INTEGRATED_GRAPHICS,14_WUXGA_OLED_GL_400N_HDR_P3,LUNA_GREY,1.39Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,81135,,81135,89890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83CV00D0IN.webp
,Yoga Slim 7,Thin & Light,83CV00D3IN,Core Ultra 7 155H,AI PC,"32GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,INTEGRATED_GRAPHICS,14_WUXGA_OLED_GL_400N_HDR_P3,LUNA_GREY,1.39Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,101680,,101680,102188.7,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83CV00D3IN.webp
,Yoga Slim 7,Thin & Light,83CV00DGIN,Core Ultra 5 125H,AI PC,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,M365 Basic + OFFICE H&S 2024,INTEGRATED_GRAPHICS,14_WUXGA_OLED_GL_400N_HDR_P3,LUNA_GREY,1.39Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,81135,,81135,89890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83CV00DGIN.webp
,Yoga Slim 9,Thin & Light,83CX002LIN,Core Ultra 7 258V,Co-Pilot+ PC,"32GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE HOME 2024,Integrated Intel Arc Graphics 140V,"14 4K WQUXGA (3840x2400) OLED 750nits (peak) / 600nits (typical) Glossy, 100% DCI-P3, 120Hz, Eyesafe®, Dolby Vision®, DisplayHDR™ True Black 600, Glass, Touch, X-Rite®, PureSight Pro",Tidal Teal,1.23kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,FHD 1080p (32MP) with E-shutter,Premium,192222,,192222,193183.26,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83CX002LIN.webp
,Ideapad Pro 5,Thin & Light,83D4002NIN,CORE_ULT7_155H,AI PC,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,NVIDIA® GeForce RTX™ 3050 6GB GDDR6,"16 2K (2048x1280) OLED 400nits Glossy, 100% DCI-P3, 120Hz",ARCTIC_GREY,1.94Kg, GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,121115,,121115,127890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83D4002NIN.webp
