"id","brand","series","model","full_name","price","stock_status","image_url","storage_type","interface","form_factor","capacity","read_speed","write_speed","nand_type","dram_cache","endurance_tbw","mtbf","controller","performance_score","boot_drive_recommended","short_description","key_features","long_description","warranty","mrp","_id","__v","available","category","createdAt","image","images","name","sold","stock","updatedAt"
"ssd-samsung-990","Samsung","","","Samsung 990 Pro 1TB NVMe","10950","In Stock","","","PCIe Gen4","M.2","1000.0","","","","","","","","","","","","","","14950","69345169fe249f65c8f179dc","0","false","storage","2025-12-06T15:53:13.190Z","","[]","Samsung 990 Pro 1TB NVMe","0","10","2026-01-02T13:19:25.625Z"
"ssd-wd-sn850x","WD","","","WD_BLACK SN850X 1TB NVMe","9450","In Stock","","","PCIe Gen4","M.2","1000.0","","","","","","","","","","","","","","12500","69345169fe249f65c8f179dd","0","false","storage","2025-12-06T15:53:13.226Z","","[]","WD_BLACK SN850X 1TB NVMe","0","10","2026-01-02T13:19:25.625Z"
"ssd-crucial-p3p","Crucial","","","Crucial P3 Plus 1TB NVMe","6450","In Stock","","","PCIe Gen4","M.2","1000.0","","","","","","","","","","","","","","8500","69345169fe249f65c8f179de","0","false","storage","2025-12-06T15:53:13.269Z","","[]","Crucial P3 Plus 1TB NVMe","0","10","2026-01-02T13:19:25.625Z"
"ssd-kingston-kc3000","Kingston","","","Kingston KC3000 1TB NVMe","8450","In Stock","","","PCIe Gen4","M.2","1000.0","","","","","","","","","","","","","","11000","69345169fe249f65c8f179df","0","false","storage","2025-12-06T15:53:13.314Z","","[]","Kingston KC3000 1TB NVMe","0","10","2026-01-02T13:19:25.625Z"
"ssd-wd-sn580","WD","","","WD Blue SN580 1TB NVMe",5450,"In Stock","","","PCIe Gen4","M.2","1000.0","","","","","","","","","","","","","",7500,"69345169fe249f65c8f179e0",0,"false","storage","2025-12-06T15:53:13.352Z","","[]","WD Blue SN580 1TB NVMe",0,10,"2026-01-02T13:19:25.625Z"
